File,Status,Reason,References
ai_engine/gesture_recognition/training/__pycache__/trainer.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/training/evaluator.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/training/trainer.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/training/hyperparameter_tuner.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/services/gesture_service.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/training/trainer.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/services/gesture_service.py (python import); ai_engine/gesture_recognition/training/hyperparameter_tuner.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/inference/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/inference/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/inference/__pycache__/pipeline.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/inference/pipeline.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/services/ai_service.py (python import)
ai_engine/inference_preparation/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/inference_preparation/preprocessor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/pipeline/vision_pipeline.py (python import)
ai_engine/landmark_extraction/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/landmark_extraction/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/landmark_extraction/__pycache__/extractor.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/landmark_extraction/extractor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/inference/pipeline.py (python import); ai_engine/pipeline/vision_pipeline.py (python import); tests/test_scaffolding.py (python import)
ai_engine/landmark_processor/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/landmark_processor/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/landmark_processor/__pycache__/processor.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/landmark_processor/processor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/pipeline/vision_pipeline.py (python import); ai_engine/services/perception_service.py (python import); run_full_audit.py (python import); tests/test_scaffolding.py (python import)
ai_engine/motion_analysis/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/motion_analysis/analyser.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/pipeline/vision_pipeline.py (python import)
ai_engine/pipeline/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/pipeline/vision_pipeline.py,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
ai_engine/processing/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/processing/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/processing/__pycache__/landmark_normalizer.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/processing/__pycache__/temporal_tracker.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/processing/landmark_normalizer.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import); tests/test_scaffolding.py (python import)
ai_engine/processing/temporal_tracker.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import); tests/test_scaffolding.py (python import)
ai_engine/replay/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/replay/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/replay/__pycache__/session_replay.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/replay/session_replay.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/pages/live_vision_engine.py (python import)
ai_engine/schemas/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/schemas/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/schemas/__pycache__/landmark_schema.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/schemas/__pycache__/telemetry_schema.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/schemas/landmark_schema.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/processing/landmark_normalizer.py (python import); ai_engine/processing/temporal_tracker.py (python import); ai_engine/replay/session_replay.py (python import); ai_engine/schemas/telemetry_schema.py (python import)
ai_engine/schemas/telemetry_schema.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import); ai_engine/telemetry/motion_metrics.py (python import); ai_engine/telemetry/occlusion_metrics.py (python import); ai_engine/telemetry/performance_metrics.py (python import)
ai_engine/sequence_models/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/sequence_models/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/sequence_models/__pycache__/seq_model.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/sequence_models/seq_model.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/inference/pipeline.py (python import)
ai_engine/services/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/services/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/services/__pycache__/perception_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/services/perception_service.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/pages/live_gesture_recognition.py (python import); frontend/pages/live_vision_engine.py (python import); run_full_audit.py (python import); tests/test_scaffolding.py (python import)
ai_engine/storage/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/storage/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/storage/__pycache__/landmark_recorder.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/storage/__pycache__/session_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/storage/landmark_recorder.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/pages/live_vision_engine.py (python import); tests/test_scaffolding.py (python import); tests/test_scaffolding.py (python import)
ai_engine/storage/session_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/storage/landmark_recorder.py (python import); frontend/pages/live_vision_engine.py (python import); tests/test_scaffolding.py (python import); tests/test_scaffolding.py (python import)
ai_engine/telemetry/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/telemetry/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/__pycache__/motion_metrics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/__pycache__/occlusion_metrics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/__pycache__/performance_metrics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/__pycache__/stability_metrics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/__pycache__/visibility_metrics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/telemetry/motion_metrics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/telemetry/occlusion_metrics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/telemetry/performance_metrics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/telemetry/stability_metrics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/telemetry/visibility_metrics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/temporal_memory/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/temporal_memory/memory.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/pipeline/vision_pipeline.py (python import)
ai_engine/translation_engine/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/translation_engine/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/translation_engine/__pycache__/translator.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/translation_engine/translator.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/inference/pipeline.py (python import)
ai_engine/utils/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/utils/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/utils/__pycache__/config.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/utils/__pycache__/logger.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/utils/config.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/exporters/csv_exporter.py (python import); ai_engine/exporters/json_exporter.py (python import); ai_engine/exporters/parquet_exporter.py (python import); ai_engine/processing/temporal_tracker.py (python import)
ai_engine/utils/logger.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/exporters/csv_exporter.py (python import); ai_engine/exporters/json_exporter.py (python import); ai_engine/exporters/parquet_exporter.py (python import); ai_engine/gesture_recognition/models/alphabet_model.py (python import)
ai_engine/vision/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/vision/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/vision/__pycache__/camera_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/vision/__pycache__/face_detector.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/vision/__pycache__/hand_detector.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/vision/__pycache__/pose_detector.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/vision/camera_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import); tests/test_scaffolding.py (python import)
ai_engine/vision/face_detector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/vision/hand_detector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine/vision/pose_detector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/services/perception_service.py (python import)
ai_engine_audit.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
analytics/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
analytics/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
analytics/__pycache__/heatmap_builder.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
analytics/__pycache__/metrics_collector.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
analytics/__pycache__/report_generator.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
analytics/heatmap_builder.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,analytics/report_generator.py (python import)
analytics/metrics_collector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,analytics/__init__.py (python import); analytics/report_generator.py (python import); app/pages/analytics.py (python import); tests/test_systems.py (python import)
analytics/report_generator.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,analytics/__init__.py (python import); app/pages/analytics.py (python import)
api_audit.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
app/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
app/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/__pycache__/main.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/main.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,backend/app/tests/conftest.py (python import); run_full_audit.py (python import)
app/pages/__pycache__/accessibility.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/admin.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/analytics.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/communication_hub.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/emergency.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/home.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/live_translation.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/settings.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/__pycache__/training_studio.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/pages/accessibility.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
app/pages/admin.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,streamlit_audit.md (path reference)
app/pages/analytics.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
app/pages/communication_hub.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
app/pages/emergency.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
app/pages/home.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,streamlit_audit.md (path reference)
app/pages/live_translation.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); app/pages/home.py (basename reference); streamlit_audit.md (path reference)
app/pages/settings.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); app/pages/home.py (basename reference); streamlit_audit.md (path reference)
app/pages/training_studio.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
app/services/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
app/services/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/services/__pycache__/ai_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/services/__pycache__/audio_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/services/__pycache__/database_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
app/services/ai_service.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/live_translation.py (python import); app/pages/settings.py (python import); app/pages/training_studio.py (python import); run_full_audit.py (python import)
app/services/audio_service.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/live_translation.py (python import); tests/test_scaffolding.py (python import)
